ID Obra,Nome,Endereço,Cidade,Estado,Latitude,Longitude,Status,Data de Entrada,Data de Saída,Valor do Contrato (R$)
OB-0001,Obra e Filhos Alameda Sousa,"Fazenda Carvalho, 9",Jundiaí,SP,-23.224567,-46.873645,Ativa,2026-01-23,,34063.56
OB-0002,Obra S/A Praça de Andrade,Favela da Conceição,Jundiaí,SP,-23.161633,-46.893263,Ativa,2026-07-19,,4736.58
OB-0003,Obra - EI Alameda de Novais,"Via de Sampaio, 863",Suzano,SP,-23.569234,-46.300598,Ativa,2026-07-04,,30470.2
OB-0004,Obra - EI Aeroporto Liam Sampaio,"Ladeira Leonardo Cunha, 21",São Bernardo do Campo,SP,-23.702448,-46.570479,Encerrada,2026-02-09,2026-02-25,34990.51
OB-0005,Obra - ME Morro Ferreira,"Área Maria Clara Nascimento, 7",Guarulhos,SP,-23.434486,-46.549675,Ativa,2025-12-08,,35185.01
OB-0006,Obra S/A Lago de Pires,"Travessa Matheus Santos, 1",São Paulo,SP,-23.591225,-46.673628,Ativa,2026-03-15,,36995.82
OB-0007,Obra e Filhos Lago Barros,"Colônia Garcia, 67",Campinas,SP,-22.913958,-47.100117,Ativa,2026-04-01,,15666.9
OB-0008,Obra S.A. Morro Otto Rios,"Viela de Ramos, 3",Jundiaí,SP,-23.173848,-46.861629,Ativa,2026-07-12,,6386.54
OB-0009,Obra - EI Feira de Castro,"Ladeira Pedro Lucas Rodrigues, 40",Jundiaí,SP,-23.21291,-46.918861,Encerrada,2025-10-30,2026-06-23,7691.56
OB-0010,Obra S/A Passarela Vitor Gabriel Azevedo,"Largo de Cunha, 86",Poá,SP,-23.531259,-46.310189,Ativa,2025-12-12,,12194.54
OB-0011,Obra S.A. Conjunto Thales Souza,"Jardim de Souza, 769",Poá,SP,-23.506418,-46.325245,Ativa,2025-10-26,,10602.25
OB-0012,Obra Ltda. Conjunto Moraes,"Avenida Camargo, 72",Campinas,SP,-22.935419,-47.066374,Encerrada,2026-02-05,2026-08-02,32058.72
OB-0013,Obra - EI Parque Garcia,"Rua Theodoro Novaes, 2",Suzano,SP,-23.524039,-46.276515,Ativa,2025-10-18,,4832.16
OB-0014,Obra e Filhos Ladeira de Vargas,"Condomínio Ana Beatriz Lopes, 17",Itaquaquecetuba,SP,-23.496284,-46.391981,Encerrada,2026-07-07,2026-09-16,30700.7
OB-0015,Obra e Filhos Jardim de Montenegro,"Rodovia Caldeira, 48",Ferraz de Vasconcelos,SP,-23.502632,-46.355415,Ativa,2025-12-02,,13735.04
OB-0016,Obra S.A. Esplanada Valentina Vasconcelos,"Trevo Duarte, 20",São Bernardo do Campo,SP,-23.690502,-46.540699,Encerrada,2026-04-27,2026-08-22,18522.85
OB-0017,Obra Ltda. Feira Danilo da Costa,"Chácara Siqueira, 91",Guarulhos,SP,-23.453347,-46.574609,Encerrada,2025-10-14,2025-12-07,29539.01
OB-0018,Obra S.A. Viaduto Melo,"Jardim Moura, 963",Jundiaí,SP,-23.193484,-46.941447,Ativa,2026-04-03,,22924.07
OB-0019,Obra e Filhos Estrada de Silva,"Viaduto Evelyn Macedo, 471",Poá,SP,-23.479492,-46.307522,Encerrada,2025-09-25,2025-11-08,31790.98
OB-0020,Obra S.A. Loteamento Almeida,"Fazenda de Pastor, 20",São Bernardo do Campo,SP,-23.669312,-46.53854,Ativa,2026-03-13,,21542.76
OB-0021,Obra e Filhos Avenida de da Conceição,Loteamento Barbosa,Santo André,SP,-23.713575,-46.516091,Encerrada,2026-02-01,2026-08-30,10914.05
OB-0022,Obra - EI Ladeira Rios,"Setor Cardoso, 497",São Paulo,SP,-23.513448,-46.653456,Ativa,2026-08-13,,11754.81
OB-0023,Obra - ME Estrada Gabriel Brito,"Morro Lavínia Jesus, 20",Itaquaquecetuba,SP,-23.460149,-46.344662,Encerrada,2026-06-18,2026-09-14,23777.14
OB-0024,Obra S/A Loteamento Henrique da Cruz,"Setor Machado, 36",São Paulo,SP,-23.50759,-46.595428,Ativa,2026-02-24,,13496.17
OB-0025,Obra Ltda. Feira Dom Macedo,"Colônia de Aragão, 401",Osasco,SP,-23.487805,-46.833235,Encerrada,2026-05-26,2026-09-11,35282.13
OB-0026,Obra S.A. Residencial Maria Luísa Cunha,"Avenida Lucas Garcia, 7",Guarulhos,SP,-23.438325,-46.489015,Ativa,2025-12-13,,39705.97
OB-0027,Obra Ltda. Lago Lavínia Sampaio,"Viaduto de Silva, 42",Ferraz de Vasconcelos,SP,-23.494664,-46.326809,Ativa,2026-09-08,,16436.23
OB-0028,Obra Ltda. Avenida Pacheco,"Avenida de Souza, 10",Jundiaí,SP,-23.170712,-46.90399,Ativa,2026-06-11,,13788.08
